Row Labels,Sum of فروش,Sum of خرید
1402/07/30,2.4162E+11,2.70201E+11
1402/08/01,3.63689E+11,3.64027E+11
1402/08/02,3.06138E+11,2.4266E+11
1402/08/03,5.25456E+11,2.88133E+11
1402/08/06,3.28015E+11,2.57331E+11
1402/08/07,2.47769E+11,2.3671E+11
1402/08/08,3.40397E+11,3.96914E+11
1402/08/09,2.57936E+11,3.26197E+11
1402/08/10,2.94443E+11,3.61101E+11
1402/08/13,2.85492E+11,3.85126E+11
1402/08/14,5.1259E+11,3.80748E+11
1402/08/15,3.72264E+11,4.17401E+11
1402/08/16,8.23683E+11,7.70685E+11
1402/08/17,3.93413E+11,3.71783E+11
1402/08/20,4.95504E+11,7.48033E+11
1402/08/21,3.96996E+11,3.19729E+11
1402/08/22,3.24817E+11,3.93633E+11
1402/08/23,3.41269E+11,3.5322E+11
1402/08/24,5.48385E+11,4.73225E+11
1402/08/27,3.90253E+11,3.5478E+11
1402/08/28,4.36629E+11,4.20187E+11
1402/08/29,3.75618E+11,5.80891E+11
1402/08/30,2.94589E+11,3.28879E+11
1402/09/01,4.98453E+11,3.86833E+11
1402/09/04,5.93686E+11,3.44734E+11
1402/09/05,3.43827E+11,3.80268E+11
1402/09/06,2.07711E+11,2.92647E+11
1402/09/07,2.28197E+11,2.88882E+11
1402/09/08,5.63949E+11,4.16484E+11
1402/09/11,8.87179E+11,9.63869E+11
1402/09/12,5.82969E+11,6.16856E+11
1402/09/13,4.84241E+11,6.42858E+11
1402/09/14,4.86942E+11,5.73673E+11
1402/09/15,4.45654E+11,4.15557E+11
1402/09/18,6.19615E+11,3.61542E+11
1402/09/19,4.19447E+11,4.04514E+11
1402/09/20,6.22806E+11,5.48813E+11
1402/09/21,6.63764E+11,6.16132E+11
1402/09/22,5.18145E+11,3.75278E+11
1402/09/25,4.27321E+11,5.2157E+11
1402/09/27,9.75294E+11,6.63565E+11
1402/09/28,9.9154E+11,1.08474E+12
1402/09/29,4.48974E+11,4.68422E+11
1402/10/02,4.31325E+11,4.53066E+11
1402/10/03,6.49297E+11,4.88818E+11
1402/10/04,4.96242E+11,4.14008E+11
1402/10/05,4.59396E+11,4.29524E+11
1402/10/06,5.09829E+11,4.15818E+11
1402/10/09,5.52563E+11,4.60094E+11
1402/10/10,6.36961E+11,4.82853E+11
1402/10/11,6.79925E+11,4.78955E+11
1402/10/12,4.37052E+11,4.09881E+11
1402/10/13,5.97726E+11,4.91338E+11
1402/10/16,3.85324E+11,3.48666E+11
1402/10/17,5.48242E+11,3.424E+11
1402/10/18,3.88901E+11,4.02053E+11
1402/10/19,7.67247E+11,4.30573E+11
1402/10/20,7.91579E+11,8.85626E+11
1402/10/23,4.8007E+11,5.09911E+11
1402/10/24,6.54983E+11,6.99044E+11
1402/10/25,4.00389E+11,4.04908E+11
1402/10/26,4.36573E+11,9.90981E+11
1402/10/27,4.97646E+11,9.34213E+11
1402/10/30,4.94075E+11,5.936E+11
1402/11/01,6.22749E+11,6.56214E+11
1402/11/02,6.20036E+11,6.54892E+11
1402/11/03,7.40058E+11,5.94944E+11
1402/11/04,5.05577E+11,5.45413E+11
1402/11/07,3.44057E+11,4.51331E+11
1402/11/08,4.06826E+11,4.45011E+11
1402/11/09,4.25198E+11,5.78428E+11
1402/11/10,9.23911E+11,7.97426E+11
1402/11/11,4.33722E+11,5.41453E+11
1402/11/14,6.5236E+11,6.5678E+11
1402/11/15,5.68442E+11,7.0494E+11
1402/11/16,4.6141E+11,5.43175E+11
1402/11/17,6.55829E+11,4.26892E+11
1402/11/18,4.54256E+11,5.0144E+11
1402/11/21,4.44087E+11,5.34445E+11
1402/11/23,6.37641E+11,5.16632E+11
1402/11/24,4.79425E+11,5.11994E+11
1402/11/25,6.9211E+11,4.52806E+11
1402/11/28,4.489E+11,5.95668E+11
1402/11/29,6.94758E+11,4.30505E+11
1402/11/30,5.10199E+11,5.25233E+11
1402/12/01,7.52641E+11,7.92598E+11
1402/12/02,4.26101E+11,6.23974E+11
1402/12/05,4.89999E+11,5.1591E+11
1402/12/07,3.73034E+11,5.29977E+11
1402/12/08,3.66234E+11,3.58985E+11
1402/12/09,4.07997E+11,4.85344E+11
1402/12/12,5.79144E+11,6.15701E+11
1402/12/13,7.1208E+11,9.8752E+11
1402/12/14,7.70774E+11,6.16275E+11
1402/12/15,1.18499E+12,1.43132E+12
1402/12/16,5.08554E+11,5.76768E+11
1402/12/19,2.73041E+11,2.96672E+11
1402/12/20,4.4766E+11,5.97655E+11
1402/12/21,6.87217E+11,1.05263E+12
1402/12/22,6.24764E+11,7.47248E+11
1402/12/23,1.20973E+12,1.37099E+12
1402/12/26,7.98904E+11,9.22729E+11
1402/12/27,1.0013E+12,7.92949E+11
1402/12/28,1.78057E+12,7.04157E+11
1403/01/05,3.8569E+11,1.191E+12
1403/01/06,5.90576E+11,5.94042E+11
1403/01/07,3.85236E+11,4.68202E+11
1403/01/08,3.94403E+11,3.83922E+11
1403/01/11,5.27923E+11,4.77857E+11
1403/01/14,7.00805E+11,6.34988E+11
1403/01/15,6.48162E+11,5.82142E+11
1403/01/18,9.06429E+11,8.79752E+11
1403/01/19,9.18966E+11,7.72225E+11
1403/01/20,7.91306E+11,7.08128E+11
1403/01/21,6.95084E+11,5.9048E+11
1403/01/25,7.67025E+11,4.57604E+11
1403/01/26,3.80364E+11,4.79708E+11
1403/01/27,4.65743E+11,4.09622E+11
1403/01/28,5.43326E+11,4.43243E+11
1403/01/29,3.57914E+11,4.09499E+11
